Id;Label;timeset;type;outline;outline_width;name;unit_id;Weighted Degree;Cluster
0;137882;;ellipse;"#000000";1;MUSlong_D_sg0r_7;137882;10;0
1;171166;;ellipse;"#000000";1;akrotroch_r2;171166;3;7
2;201048;;ellipse;"#000000";1;covercell6clock_ant;201048;1;11
3;273055;;ellipse;"#000000";1;covercell4clock_ant;273055;11;7
4;306267;;ellipse;"#000000";1;nuchal_dr1;306267;6;7
5;433286;;ellipse;"#000000";1;MUSpx;433286;15;7
6;459705;;ellipse;"#000000";1;Glia pigmented 459705;459705;2;7
7;502616;;ellipse;"#000000";1;MUSlong_V_sg0l_1;502616;5;5
8;518390;;ellipse;"#000000";1;EC_V_glila_sg1_1 518391;518390;1;5
9;518599;;ellipse;"#000000";1;paratroch_I_vl_2;518599;10;5
10;518764;;ellipse;"#000000";1;MUSlong_V_sg2l_7;518764;17;5
11;519721;;ellipse;"#000000";1;MUSlong_V_sg2l_11;519721;15;5
12;519936;;ellipse;"#000000";1;MUSlong_V_sg2l_8;519936;26;5
13;520167;;ellipse;"#000000";1;EC_V_sg2l 520168;520167;18;5
14;520593;;ellipse;"#000000";1;MUSlong_V_sg1l_8;520593;6;5
15;520755;;ellipse;"#000000";1;MUSlong_V_sg1l_6;520755;7;5
16;521359;;ellipse;"#000000";1;EC_V_sg1l_3 521360;521359;16;6
17;542612;;ellipse;"#000000";1;akrotroch_r1;542612;5;7
18;555130;;ellipse;"#000000";1;EC_V_sg2l_4 555131;555130;6;3
19;555435;;ellipse;"#000000";1;EC_V_sg2l_5 555436;555435;1;5
20;555503;;ellipse;"#000000";1;EC_V_sg2l_6 555504;555503;5;5
21;556262;;ellipse;"#000000";1;EC_V_7 5l56263;556262;1;5
22;556399;;ellipse;"#000000";1;MUSlong_V_sg0l_6;556399;18;5
23;556693;;ellipse;"#000000";1;paratroch_I_vl_1;556693;3;5
24;557195;;ellipse;"#000000";1;MUSlong_V_sg1l_4;557195;19;5
25;557403;;ellipse;"#000000";1;MUSlong_V_sg1l_5;557403;7;5
26;557877;;ellipse;"#000000";1;MUSchae_neuAVt_sg1l_1;557877;24;6
27;564048;;ellipse;"#000000";1;flat glia 564048;564048;1;7
28;565197;;ellipse;"#000000";1;EC_V_sg2l rad glia 565198;565197;8;1
29;568273;;ellipse;"#000000";1;MUSlong_D_sg0r_4;568273;5;0
30;568290;;ellipse;"#000000";1;MUSlong_D_sg1r_12;568290;10;0
31;568702;;ellipse;"#000000";1;MUSlong_D_sg0r_2;568702;12;0
32;568710;;ellipse;"#000000";1;MUSlong_D_sg0r_3;568710;9;0
33;573635;;ellipse;"#000000";1;MUSlong_D_sg0r_5;573635;9;0
34;575119;;ellipse;"#000000";1;MUSlong_D_sg2r_8;575119;12;0
35;575319;;ellipse;"#000000";1;paratroch_II_dr_1;575319;4;0
36;575448;;ellipse;"#000000";1;MUSlong_D_sg2r_9;575448;9;0
37;575787;;ellipse;"#000000";1;paratroch_II_dr_2;575787;8;0
38;575853;;ellipse;"#000000";1;MUSlong_D_sg2r_7;575853;14;0
39;577621;;ellipse;"#000000";1;paratroch_III_dr_3;577621;4;0
