"","connector","x","y","z","skid1","skid2"
"1",6627775,104750.836,83118.016,66640,1856900,1570729
"2",6627784,105099.29,83238.05,66640,1856900,1570729
"3",6627786,105561.266,83335.87,66640,1995570,1397815
"4",6627789,106322.61,83377.27,66640,1995570,1397815
"5",6627790,106486.305,83288.59,66640,1995570,1397815
"6",6627798,103650.695,82464.734,66680,1856900,1547950
"7",6627806,103713.3,81894.69,66720,1995570,1547950
"8",6627812,103641.08,81363.195,66720,1995570,1547950
"9",6627816,103861.15,80992.805,66720,1995570,1570739
"10",6627831,104772.19,80348.14,66600,1995570,1570739
"11",6627835,104361.51,80928.2,66840,1995570,1547950
"12",6628014,109272.695,84831.78,68600,1675509,1980943
"13",6628020,109126.27,82113.055,69000,1179299,1980943
"14",6628171,108381.8,83600.6,68000,1397815,1980943
"15",6628172,106669.44,82847.2,67560,1995570,1570729
"16",6628181,105987.61,80793.56,67760,1995570,1547950
"17",6628183,109555.234,84675.78,70080,1980943,1397815
"18",6628202,111272.06,95276.72,57240,1836931,1592648
"19",6628206,100468.266,114186.266,58080,1852885,1314620
"20",6628208,100181.22,114107.93,58000,1405336,1852885
"21",6628332,79989.33,118813.45,59840,1803923,1381926
"22",6628337,78036.4,118521.88,59880,2237474,1381916
"23",6628341,78183.55,118390.32,59880,2237474,1404405
"24",6628356,76688.234,118180.4,59880,2237474,1568544
"25",6628367,72903.234,117231.61,59880,2237474,1404314
"26",6628371,70523.1,116964.71,59880,2237474,1568555
"27",6628388,64767.242,116889.13,59640,2237474,1404314
"28",6628402,60103.098,120732.3,59800,2144644,1357867
"29",6628409,58681.63,121044.24,59800,2144644,1368008
"30",6628475,56508.434,120521.19,61360,1681120,1568526
"31",6628556,50096.99,114215.26,53440,1592834,1681120
"32",6628570,50600.367,116888.33,53920,1837085,1681120
"33",6633140,74738.914,73775.086,15200,708532,433286
"34",6634337,74332.81,74504.46,16000,1530521,433286
"35",6634342,74642.78,74880.62,16000,1530521,433286
"36",6634346,75302.914,74037.13,16000,708532,433286
"37",6634351,74431.22,73922.41,16800,1530521,433286
"38",6634352,74211.44,74607.43,16800,1530521,433286
"39",6634361,55178.855,62464.902,17600,1359756,1410907
"40",6634363,55366.7,62478.133,17600,1359756,1410907
"41",6634365,105159.14,61654.426,19200,1409107,1479575
"42",6634366,105433.875,61867.41,19200,1743435,1479575
"43",6634368,106488.46,61161.22,19080,1660595,1479575
"44",6634369,105215.75,59609.707,19200,1744487,1368881
"45",6634375,74474.54,74444.53,19200,1530521,433286
"46",6634376,74606.836,75911.555,19200,1839383,433286
"47",6634378,75978.2,76411.305,19200,1839383,433286
"48",6634380,75950.87,73492.29,19200,708532,433286
"49",6635338,73768.6,75690.016,22000,564048,433286
"50",6635398,77717.3,76806.195,24000,1840101,433286
"51",6635401,72351.58,78575.375,24000,1840101,433286
"52",6635403,71868.984,78198.85,24000,1840101,433286
"53",6635579,86198.336,99564.84,24000,1409122,1800092
"54",6635658,74405.734,99511.55,22680,1409122,1800092
"55",6636329,64660.95,105137.78,24000,1839720,1594186
"56",6636331,64337.04,104831.52,24000,1803313,1342709
"57",6636334,70339.03,103474.91,24000,2183819,1388881
"58",6636374,80887.48,102101.125,24000,1976777,1568903
"59",6636376,81228.21,102138.24,24000,1976777,1568903
"60",6636378,87369.266,100361.48,24000,1839764,1800092
"61",6636382,66952.05,99530.72,24000,1410714,1356912
"62",6636383,66248.51,99780.7,24000,1410714,1356912
"63",6636386,66969.79,100563.88,24000,1568526,1410714
"64",6636389,73943.04,97779.61,24000,1839791,1356912
"65",6636396,100165.6,63766.44,24000,2142183,1986568
"66",6636611,99711.78,47229.06,26000,1368881,1839951
"67",6636613,99098.72,44618.85,26000,1839951,1331741
"68",6636632,102273.47,51627.18,25960,1383560,1479575
"69",6636638,42781.953,49984.88,26000,1975673,1322371
"70",6636640,43038.605,49926.914,26000,1975673,1453924
"71",6636644,41893.145,51270.98,26000,1975673,1322371
"72",6636649,99467.31,60482.27,26000,1721558,1356116
"73",6636660,103346.99,54803.387,26000,2142183,1204562
"74",6636663,103165.12,54577.37,26000,2142183,1383560
"75",6636673,101280.75,59896.145,26000,2142183,1356116
"76",6636676,99741.46,62877.484,26000,2142183,1409090
"77",6636680,80398.5,77918.336,26000,1840101,1568924
"78",6636682,81241.055,78214.76,26000,1282806,1568924
"79",6636683,81400.97,78563.78,26000,1840066,1568924
"80",6636707,79211.09,77528.33,26000,1840101,1409181
"81",6636716,78049.484,76832.91,26000,1840101,1416695
"82",6636718,77065.625,75884.19,25960,459705,1416695
"83",6636731,75495.29,75633.79,26000,1840101,1416695
"84",6636736,74251.42,76495.47,26000,1409181,1416695
"85",6636737,73815.46,75543.43,26000,1840101,1409181
"86",6636738,72661.91,75687.54,26000,1840101,1409181
"87",6636740,71314.125,76016.9,26000,1840101,1409181
"88",6636741,70511.85,76391.04,26000,1840101,1409181
"89",6636742,68730.375,80176.7,26000,1594720,1409181
"90",6636756,87190.45,102319.836,26000,1746385,1568903
"91",6636765,86807.914,102259.85,25480,1746385,1568903
"92",6636860,44052.062,106328.445,26000,1406273,1594110
"93",6636861,41276.062,105694.02,26000,1840153,1406273
"94",6636895,44653.29,105875.56,26000,1840153,1594110
"95",6636898,60109.73,112832.11,26000,1840188,1594186
"96",6636902,58719.637,116687.85,26000,1278649,1594186
"97",6636904,58835.188,116852.99,26000,1278649,1594186
"98",6637011,86046.76,97044.72,28000,1840253,1589082
"99",6637013,86927.04,97209.65,28000,1408621,1568912
"100",6637014,87877.08,98394.91,28000,1840253,1568912
"101",6637023,43213.996,52684.473,30080,1745949,1409196
"102",6637104,43596.61,51989.895,30040,542612,1409196
"103",6637119,42330.848,54474.695,30040,542612,1409196
"104",6637121,42118.01,55086.03,30040,1840837,1409196
"105",6637133,42659.11,53777.69,30000,1840837,1593894
"106",6637145,41160.684,56196.258,29960,171166,1593894
"107",6637155,89437.11,79242.31,30000,1840323,1669782
"108",6637164,89685.73,78899.89,30000,1840323,1669782
"109",6637165,90095.23,78436.586,30000,1840323,1669782
"110",6637166,89884.164,77585.27,30000,1818324,1669782
"111",6637172,92873.37,74909.125,30000,1840340,1358976
"112",6637176,88410.99,79175.555,30000,1621079,1669782
"113",6637177,69367.91,80684.21,30000,1840369,1650043
"114",6637220,67015.94,83646.086,30000,1840369,1277257
"115",6637225,66841.2,82776.41,30000,1840369,870685
"116",6637227,66864.2,82541.25,30000,1840369,870685
"117",6637229,67983.86,81591.81,30000,870685,1840369
"118",6637231,67266.734,82118.03,30000,870685,1840369
"119",6637356,77020.625,84667.47,30000,1840369,1651853
"120",6637357,77443.23,84872.42,30000,1840369,1651853
"121",6637358,78469.375,85972.26,30000,1840369,1650778
"122",6637359,79793.76,86862.27,30000,1840369,1651790
"123",6637360,88069.836,99140.51,30000,1840369,1589082
"124",6637362,88142.08,99392.94,30000,1840369,1589082
"125",6637364,89189.46,101394.98,30000,1621079,1840369
"126",6637365,89010.66,101597,30000,1621079,1840369
"127",6637410,64529.523,92084.96,30000,1840369,1650778
"128",6637411,64942.887,88095.67,30000,1840369,1652079
"129",6637414,94160.1,100386.22,30000,1718492,1800092
"130",6637916,111414.74,113600.91,63160,1647763,1782275
"131",6637917,98744.81,71915.61,31000,1358976,1828867
"132",6637918,110871.836,113946.8,62880,1647763,1782275
"133",6637919,111367.45,113701.88,62880,1647763,1782275
"134",6637920,110384.5,114260.81,62880,1647763,1782275
"135",6637921,111335.04,93549.17,61040,1339753,1742908
"136",6637922,68437,138275.17,116240,1676620,1453718
"137",6637923,68607.09,139686.28,116760,1676620,1453718
"138",6637924,72181.234,123851.02,156400,1027959,1670429
"139",6637925,71809.69,123650.97,156400,1368030,1670429
"140",6637926,95444.9,108892.96,42520,1546352,1568903
"141",6637927,95238.64,108569.88,42520,1546352,1568903
"142",6637928,95004.88,107899.72,42520,1546352,1568903
"143",6637929,98548.17,107435.086,45920,1589082,1546352
"144",6637930,96421.78,108845.89,46000,1546352,1568903
"145",6637931,59611.562,109655.016,34760,1368008,1356912
"146",6637932,60113.707,110336.41,30280,1368008,1594186
"147",6637933,60012.25,110515.04,30280,1368008,1594186
"148",6637934,59850.766,111074.11,30280,1368008,1594186
"149",6637939,63077.36,106980.93,30280,1356912,1594186
"150",6637940,59953.496,107774.56,30280,1473394,1368008
"151",6637941,59566.93,108050.35,30280,1473394,1368008
"152",6637948,59183.727,108690.27,30280,1473394,1368008
"153",6637949,59095.9,109414.24,30280,1473394,1368008
"154",6637952,59323.06,110602.97,30280,1473394,1395692
"155",6637953,59417.297,110246.51,30280,1800092,1473394
"156",6637998,59440.414,121201.02,61440,1357867,1638906
"157",6637999,54962.11,120300.12,61400,2144644,1638906
"158",6638009,53980.004,119975.57,61400,1136703,1638906
"159",6638010,53734.8,119812.61,61400,1136703,1638931
"160",6638016,100456.21,93726.52,94480,1793820,1398775
"161",6638017,100240.99,94151.67,94480,1793820,1398775
"162",6638018,99900.61,94996.35,94480,1793820,1398775
"163",6638020,99459.58,95641.42,94480,1793820,1398775
"164",6638024,102183.6,88738.87,94480,1793820,1631578
"165",6638026,103300.52,84842.12,94440,1633478,1647048
"166",6638028,62479.42,78560.27,162400,992318,1568990
"167",6638511,72901.93,45245.406,31560,1593242,1407718
"168",6638515,42911.473,53421.094,30000,1840837,1409196
"169",6638516,43248.824,52658.992,30000,1840837,1409196
"170",6638517,98682.07,46661.71,30000,1448388,1583499
"171",6638518,98254.695,45934.35,30000,2142195,1583499
"172",6638521,98009.68,45445.53,30000,2142195,1583499
"173",6638522,99191.07,48173.094,30000,1448388,1583499
"174",6638523,99915.055,50915.45,30000,2142195,1204562
"175",6638529,59701.547,96327.85,30000,1795645,1745859
"176",6638576,60562.703,95421.89,28600,1795645,1660810
"177",6638579,59240.375,96231.836,28600,1660810,1745859
"178",6638589,60163.76,104542.664,30000,1840889,1568526
"179",6638592,59387.062,106580.98,30000,1420398,1356912
"180",6638593,59676.86,107124.945,30000,1840900,1356912
"181",6638595,60034.96,107679.83,30000,1473394,1368008
"182",6638596,59780.63,107873.945,30000,1840900,1368008
"183",6638598,59519.42,108045.875,30000,1473394,1368008
"184",6638599,59223.99,108761.59,30000,1473394,1368008
"185",6638600,59968.92,110568.3,30000,1594186,1368008
"186",6638602,59546.273,110514.89,30000,1473394,1395692
"187",6638610,58128.79,115571.375,30000,1278649,1594186
"188",6638617,98078.19,47627.527,32000,1840934,1583499
"189",6638619,98765.734,48523.055,32000,1840934,1583499
"190",6638622,97193.85,48278.29,32000,1840934,1711652
"191",6638624,42645.2,53896.195,32000,542612,1593671
"192",6638810,42226.242,54772.867,32000,1841016,1409196
"193",6638816,41277.285,56207.51,32000,171166,1593894
"194",6638820,41696.56,55753.05,32000,1841016,1593894
"195",6638870,91431.54,65522.63,32000,1818324,1621079
"196",6638874,95987.53,73096.875,32000,1841053,1358976
"197",6638877,93906.13,71754.34,32000,1841053,1405464
"198",6638879,89505.14,97404.95,32000,1841071,1589082
"199",6638881,92332.09,100265.28,32000,1841078,1568903
"200",6638883,58980.37,110154.086,32040,1473394,1368008
"201",6638896,58794.58,110819.4,32040,1395692,1473394
"202",6638897,58220.05,113234.53,32000,1395692,1841095
"203",6638906,57959.574,113798.53,32000,1395692,1841095
"204",6638908,57811.906,114257.19,32000,1841095,1395692
"205",6638909,57826.477,115076.82,32000,1841095,1395692
"206",6638937,44717.312,56390.55,34000,1841128,1409196
"207",6638947,42380.695,56740.8,34000,1841128,1593671
"208",6638950,42057.07,57515.53,34000,1841128,1593671
"209",6638960,41528.383,60088.875,34000,1841128,1593894
"210",6638970,41460.723,60884.234,34000,1841128,1593894
"211",6639015,92642.41,101172.414,34000,1568903,1589082
"212",6639129,94628.266,101955.016,34000,1841185,1546352
"213",6639132,58676.93,111087.89,34000,1841192,1368008
"214",6639134,58689.566,111398.12,34000,1841192,1395692
"215",6639137,57905.203,113305.57,34000,1841192,1395692
"216",6639139,57884.445,115557.445,34000,1278649,1395692
"217",6641657,92080.766,53581.926,36960,1976514,1841913
"218",6641660,91733.22,53732.625,36960,1976514,1841913
"219",6641663,92417.13,53816.66,37160,1976514,1841913
"220",6641678,93332.11,55138.023,38440,1841952,1841913
"221",6641680,93132.414,55087.18,38440,1841952,1841913
"222",6641856,42529.01,60725.43,36000,1593671,1409196
"223",6641857,97839.22,54113.543,36000,1841991,1583499
"224",6641871,42396.43,65035.266,36000,1398407,1593894
"225",6641873,42325.047,66315.43,36000,1842004,1593894
"226",6641875,42590.844,70603.81,36000,1842011,1593894
"227",6641919,42833.53,73118.74,36000,1842004,1593894
"228",6641921,41586.95,78255.586,36000,1842034,1593894
"229",6641923,41195.895,80225.484,36000,1842034,1593671
"230",6641929,45648,96332.414,36000,1842049,1593671
"231",6642581,97271.016,50233.715,34000,1841991,1583499
"232",6642583,98731.125,52765.387,34000,1841991,1405261
"233",6642588,96147.44,51194.918,34000,1842331,1711652
"234",6642624,56647.934,108598.38,34000,1841192,1420398
"235",6642789,54267.48,86082.84,36000,1649749,1842455
"236",6642809,95892.55,101515.33,36000,1842463,1589082
"237",6642812,92746.78,102153.26,36000,1589082,1568903
"238",6642813,96127.46,103557.74,36000,1411919,1800092
"239",6642955,94433.32,103658.98,35920,1568903,1546352
"240",6642958,94569.21,102500.5,36000,1842463,1546352
"241",6642963,98909.02,110665.63,35880,1405336,1419586
"242",6642976,98964.984,110732.52,35640,1419586,1405336
"243",6642986,98835.266,110310.12,35120,1277150,1419586
"244",6643014,97581.85,108357.12,36000,1405336,1842615
"245",6643016,97355.625,108333.375,36000,1405336,1842615
"246",6643019,98926.805,110906.484,36000,1544834,1842633
"247",6643395,96960.62,55961.273,38000,1842837,1583499
"248",6643399,97645.16,61969.97,38000,1842721,1405261
"249",6643401,98655.09,59846.266,38000,1806237,1405261
"250",6644069,100147.58,69921.82,38000,1842837,1405261
"251",6644070,98786.92,66373.57,38000,1842837,1405261
"252",6644075,96117.43,103222.93,38000,1411919,1589082
"253",6644088,94896.04,105107.586,37920,1568903,1546352
"254",6644090,94060.46,103719.04,37920,1568903,1546352
"255",6644093,93687.08,103055.47,37920,1589082,1568903
"256",6644098,96998.664,105383.27,38120,1416066,1546352
"257",6644102,95959.805,103477.59,38120,1546352,1411919
"258",6644104,95200.4,103333.695,38360,1589082,1546352
"259",6644106,96057.21,103617.5,38360,1546352,1411919
"260",6644109,97185.74,105404.92,38240,1277150,1416066
