Name,CATMAID annotation
akrotroch,celltype_non_neuronal1
crescentcell,celltype_non_neuronal2
prototroch,celltype_non_neuronal3
nuchal,celltype_non_neuronal4
metatroch,celltype_non_neuronal5
paratroch,celltype_non_neuronal6
spinGland,celltype_non_neuronal7
covercell,celltype_non_neuronal8
ciliatedGland,celltype_non_neuronal9
pigment_cell_eyespot,celltype_non_neuronal10
pigment_cell_AE,celltype_non_neuronal11
pigment_cell_parapodial,celltype_non_neuronal12
macrophage-like,celltype_non_neuronal13
yolk cover cells,celltype_non_neuronal14
flat glia,celltype_non_neuronal15
radial-glia-like,celltype_non_neuronal16
MVGland,celltype_non_neuronal17
microvillarCell,celltype_non_neuronal18
protonephridium,celltype_non_neuronal19
nephridium,celltype_non_neuronal20
nephridiumTip,celltype_non_neuronal21
chaeta,celltype_non_neuronal22
acicula,celltype_non_neuronal23
acFC,celltype_non_neuronal24
chaeFC-hemi,celltype_non_neuronal25
chaeFC-ER,celltype_non_neuronal26
chaeFC-noER,celltype_non_neuronal27
chaeFC-EC,celltype_non_neuronal28
HeadGland,celltype_non_neuronal29
InterparaGland,celltype_non_neuronal30
spinMicroGland,celltype_non_neuronal31
CB-pigment,celltype_non_neuronal32
vacuolar_cell_head,celltype_non_neuronal33
glia pigmented,celltype_non_neuronal34
pygidial_pigment_cell ,celltype_non_neuronal35
coelothelium,celltype_non_neuronal36
MUSac-notA,celltype_non_neuronal37
MUSac-notP,celltype_non_neuronal38
MUSac-notM,celltype_non_neuronal39
MUSac-neuAV,celltype_non_neuronal40
MUSac-neuPD,celltype_non_neuronal41
MUSac-neuPV,celltype_non_neuronal42
MUSac-neuDy,celltype_non_neuronal43
MUSac-neuDx,celltype_non_neuronal44
MUSac-neuDach,celltype_non_neuronal45
MUSac-neure,celltype_non_neuronal46
MUSac-i,celltype_non_neuronal47
MUSobA-re,celltype_non_neuronal48
MUSobA-arc,celltype_non_neuronal49
MUSobA-mpp,celltype_non_neuronal50
MUSobA-mlpp,celltype_non_neuronal51
MUSobA-lpp,celltype_non_neuronal52
MUSobA-trans,celltype_non_neuronal53
MUSobP-notD,celltype_non_neuronal54
MUSobP-neuDlong,celltype_non_neuronal55
MUSobP-neuDprox,celltype_non_neuronal56
MUSobP-neuDdist,celltype_non_neuronal57
MUSobP-neuV,celltype_non_neuronal58
MUSobP-notV,celltype_non_neuronal59
MUSobP-M,celltype_non_neuronal60
MUSobP-noty,celltype_non_neuronal61
MUSobP-i,celltype_non_neuronal62
MUSchae-notDob,celltype_non_neuronal63
MUSchae-notD,celltype_non_neuronal64
MUSchae-notDn,celltype_non_neuronal65
MUSchae-notA,celltype_non_neuronal66
MUSchae-notAac,celltype_non_neuronal67
MUSchae-notAre,celltype_non_neuronal68
MUSchae-neuVob,celltype_non_neuronal69
MUSchae-neuDac,celltype_non_neuronal70
MUSchae-neuAVo,celltype_non_neuronal71
MUSchae-neuAVt,celltype_non_neuronal72
MUSchae-Are,celltype_non_neuronal73
MUStrans,celltype_non_neuronal74
MUSlongD,celltype_non_neuronal75
MUSlongV,celltype_non_neuronal76
MUSax,celltype_non_neuronal77
MUSring-pyg,celltype_non_neuronal78
MUSph,celltype_non_neuronal79
MUSll,celltype_non_neuronal80
MUSant,celltype_non_neuronal81
MUSly,celltype_non_neuronal82
MUSpl,celltype_non_neuronal83
MUSci,celltype_non_neuronal84
MUSch,celltype_non_neuronal85
MUSpx,celltype_non_neuronal86
MUSpr-vt,celltype_non_neuronal87
MUStri,celltype_non_neuronal88
MUSmed_head,celltype_non_neuronal89
EC,celltype_non_neuronal90
yolk,celltype_non_neuronal91
gut,celltype_non_neuronal92
