,MUSac-notA,MUSac-notP,MUSac-notM,MUSac-neuAV,MUSac-neuPD,MUSac-neuPV,MUSac-neuDy,MUSac-neuDx,MUSac-neuDach,MUSac-neure,MUSac-i,MUSobA-re,MUSobA-arc,MUSobA-mpp,MUSobA-mlpp,MUSobA-lpp,MUSobA-trans,MUSobP-notD,MUSobP-neuDlong,MUSobP-neuDprox,MUSobP-neuDdist,MUSobP-neuV,MUSobP-notV,MUSobP-M,MUSobP-noty,MUSobP-i,MUSchae-notDob,MUSchae-notD,MUSchae-notDn,MUSchae-notA,MUSchae-notAac,MUSchae-notAre,MUSchae-neuVob,MUSchae-neuDac,MUSchae-neuAVo,MUSchae-neuAVt,MUSchae-Are,MUStrans,MUSlongD,MUSlongV,MUSax,MUSring,MUSph,MUSll,MUSant,MUSly,MUSpl,MUSci,MUSch,MUSpx,MUSpr-vt,MUStri,MUSmed
head left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,3,2,1,3,0,0,1,1
peristomium left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
sg0 left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,8,0,0,0,1,0,0,0,0,0
sg1 left,2,2,2,2,3,2,0,0,3,1,1,6,2,1,0,1,2,4,1,3,3,5,3,0,1,1,3,1,1,1,4,0,2,4,2,1,1,5,16,10,4,0,0,0,0,0,0,0,0,0,0,0,0
sg2 left,2,2,2,3,3,3,1,2,3,2,1,7,4,2,0,2,1,5,2,3,3,7,3,1,1,1,3,1,1,1,4,1,3,5,3,1,1,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0
sg3 left,2,2,2,3,3,2,1,2,3,1,1,7,3,3,2,2,2,5,2,3,3,7,3,1,1,1,3,1,1,1,4,1,3,5,3,1,1,8,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0
pyg left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
head right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,3,2,2,3,0,0,1,1
peristomium right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
sg0 right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,4,0,0,0,2,0,0,0,0,0,0,0,0,0
sg1 right,2,2,2,2,3,2,0,0,3,1,1,5,2,1,0,1,1,4,1,3,3,5,3,0,1,1,3,1,1,1,4,0,2,4,2,1,1,5,14,12,4,0,0,0,0,0,0,0,0,0,0,0,0
sg2 right,2,2,2,3,3,3,1,2,3,2,1,7,4,2,0,2,3,5,2,3,3,6,3,1,1,1,3,1,1,1,4,1,3,5,3,1,1,9,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0
sg3 right,2,2,2,3,3,2,1,2,3,1,1,7,3,3,2,2,1,5,1,3,4,8,3,1,1,1,3,1,1,1,4,1,3,5,3,1,1,9,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0
pyg right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
head middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
pyg middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
