class,weighted_degree
epithelia_cell,1
hemichaetal,2
muscle,5
epithelia_cell,1
epithelia_cell,5
epithelia_cell,1
epithelia_cell,1
epithelia_cell,1
epithelia_cell,3
epithelia_cell,1
epithelia_cell,1
epithelia_cell,1
epithelia_cell,8
epithelia_cell,1
epithelia_cell,2
epithelia_cell,1
epithelia_cell,1
epithelia_cell,7
epithelia_cell,1
epithelia_cell,1
epithelia_cell,7
epithelia_cell,5
epithelia_cell,7
epithelia_cell,1
epithelia_cell,5
circumchaetal,6
epithelia_cell,1
hemichaetal,2
circumchaetal,4
epithelia_cell,4
epithelia_cell,1
epithelia_cell,2
hemichaetal,6
hemichaetal,3
epithelia_cell,9
epithelia_cell,1
epithelia_cell,5
epithelia_cell,2
epithelia_cell,1
circumacicular,48
circumacicular,49
circumacicular,34
circumacicular,25
circumacicular,12
circumacicular,49
circumacicular,31
circumacicular,39
hemichaetal,1
circumchaetal,2
epithelia_cell,3
hemichaetal,2
hemichaetal,5
epithelia_cell,4
circumchaetal,1
hemichaetal,2
hemichaetal,4
circumchaetal,8
hemichaetal,23
circumchaetal,19
circumchaetal,12
hemichaetal,1
circumchaetal,1
circumchaetal,1
hemichaetal,2
circumchaetal,1
circumchaetal,2
circumchaetal,13
hemichaetal,6
circumchaetal,2
circumchaetal,13
hemichaetal,1
epithelia_cell,14
hemichaetal,2
circumchaetal,2
epithelia_cell,2
hemichaetal,2
circumchaetal,2
circumchaetal,2
epithelia_cell,1
circumchaetal,15
circumchaetal,4
epithelia_cell,3
circumchaetal,27
epithelia_cell,2
circumchaetal,2
hemichaetal,9
hemichaetal,8
circumchaetal,4
hemichaetal,1
hemichaetal,2
hemichaetal,1
hemichaetal,2
hemichaetal,1
hemichaetal,9
circumchaetal,1
circumchaetal,3
hemichaetal,14
hemichaetal,2
epithelia_cell,1
circumchaetal,12
circumchaetal,15
epithelia_cell,6
epithelia_cell,2
epithelia_cell,2
hemichaetal,9
circumchaetal,12
hemichaetal,2
hemichaetal,13
hemichaetal,4
hemichaetal,11
epithelia_cell,2
hemichaetal,3
circumchaetal,7
circumchaetal,5
circumchaetal,12
hemichaetal,9
hemichaetal,8
epithelia_cell,3
hemichaetal,18
circumchaetal,14
epithelia_cell,2
circumchaetal,6
circumchaetal,5
epithelia_cell,1
hemichaetal,2
hemichaetal,8
hemichaetal,5
epithelia_cell,2
epithelia_cell,3
hemichaetal,3
hemichaetal,2
epithelia_cell,3
epithelia_cell,2
hemichaetal,1
hemichaetal,3
circumacicular,54
hemichaetal,3
epithelia_cell,3
hemichaetal,1
hemichaetal,4
hemichaetal,6
hemichaetal,11
epithelia_cell,5
hemichaetal,2
circumchaetal,5
epithelia_cell,1
hemichaetal,2
hemichaetal,2
circumchaetal,7
hemichaetal,13
circumchaetal,8
circumchaetal,5
hemichaetal,6
circumchaetal,9
hemichaetal,5
circumchaetal,13
hemichaetal,2
hemichaetal,2
hemichaetal,14
circumchaetal,19
hemichaetal,28
hemichaetal,15
circumchaetal,10
hemichaetal,4
hemichaetal,3
hemichaetal,11
circumchaetal,5
circumchaetal,12
circumchaetal,7
epithelia_cell,1
epithelia_cell,1
epithelia_cell,2
epithelia_cell,5
circumchaetal,1
epithelia_cell,1
epithelia_cell,1
epithelia_cell,1
epithelia_cell,1
epithelia_cell,1
circumchaetal,17
circumchaetal,11
hemichaetal,3
circumchaetal,2
circumchaetal,9
hemichaetal,4
hemichaetal,14
epithelia_cell,2
epithelia_cell,6
circumchaetal,3
hemichaetal,3
hemichaetal,7
hemichaetal,4
epithelia_cell,3
circumchaetal,1
hemichaetal,7
circumchaetal,2
hemichaetal,14
chaeta,10
hemichaetal,3
circumchaetal,1
circumchaetal,3
hemichaetal,2
chaeta,7
hemichaetal,7
hemichaetal,6
hemichaetal,2
chaeta,4
epithelia_cell,10
epithelia_cell,3
hemichaetal,13
hemichaetal,33
circumchaetal,4
circumchaetal,19
circumchaetal,6
hemichaetal,17
hemichaetal,5
hemichaetal,7
hemichaetal,7
hemichaetal,4
hemichaetal,15
hemichaetal,1
chaeta,9
epithelia_cell,1
epithelia_cell,1
epithelia_cell,3
epithelia_cell,6
epithelia_cell,4
circumchaetal,5
circumchaetal,7
hemichaetal,10
circumchaetal,4
circumchaetal,12
circumacicular,19
hemichaetal,11
circumchaetal,10
hemichaetal,1
hemichaetal,4
hemichaetal,2
hemichaetal,1
circumchaetal,5
circumchaetal,2
circumchaetal,13
hemichaetal,21
hemichaetal,11
hemichaetal,11
epithelia_cell,3
epithelia_cell,10
epithelia_cell,1
epithelia_cell,1
epithelia_cell,5
hemichaetal,6
epithelia_cell,2
hemichaetal,6
hemichaetal,11
circumchaetal,5
circumchaetal,7
hemichaetal,8
circumchaetal,1
chaeta,4
chaeta,5
hemichaetal,3
circumchaetal,10
epithelia_cell,2
circumchaetal,6
hemichaetal,2
epithelia_cell,1
circumchaetal,1
circumchaetal,1
epithelia_cell,6
epithelia_cell,5
epithelia_cell,2
hemichaetal,18
circumchaetal,15
circumchaetal,3
epithelia_cell,12
epithelia_cell,5
circumchaetal,3
circumchaetal,16
epithelia_cell,9
epithelia_cell,2
circumchaetal,27
epithelia_cell,1
circumchaetal,11
epithelia_cell,6
circumchaetal,1
epithelia_cell,4
circumchaetal,4
epithelia_cell,8
epithelia_cell,3
epithelia_cell,3
epithelia_cell,1
epithelia_cell,6
epithelia_cell,4
epithelia_cell,10
epithelia_cell,12
epithelia_cell,2
epithelia_cell,1
circumchaetal,4
epithelia_cell,2
epithelia_cell,2
epithelia_cell,2
epithelia_cell,1
epithelia_cell,5
epithelia_cell,4
epithelia_cell,2
epithelia_cell,2
epithelia_cell,6
epithelia_cell,1
epithelia_cell,8
epithelia_cell,18
epithelia_cell,3
epithelia_cell,6
epithelia_cell,4
epithelia_cell,7
epithelia_cell,3
epithelia_cell,2
epithelia_cell,10
epithelia_cell,1
epithelia_cell,4
epithelia_cell,1
epithelia_cell,5
epithelia_cell,1
epithelia_cell,2
circumchaetal,8
hemichaetal,7
epithelia_cell,4
epithelia_cell,1
circumchaetal,13
circumchaetal,13
circumchaetal,13
circumacicular,25
epithelia_cell,12
circumacicular,40
circumacicular,29
acicula,31
circumchaetal,13
hemichaetal,6
circumchaetal,7
epithelia_cell,17
circumacicular,34
circumacicular,28
circumacicular,42
epithelia_cell,4
circumacicular,21
circumacicular,17
circumacicular,37
hemichaetal,10
circumacicular,21
epithelia_cell,6
circumacicular,4
hemichaetal,16
hemichaetal,3
circumacicular,15
epithelia_cell,4
circumchaetal,13
circumacicular,29
epithelia_cell,7
circumchaetal,1
circumchaetal,13
circumchaetal,12
epithelia_cell,1
hemichaetal,19
hemichaetal,11
circumchaetal,19
hemichaetal,12
circumacicular,38
circumacicular,51
circumchaetal,11
circumchaetal,13
circumchaetal,18
epithelia_cell,4
epithelia_cell,5
epithelia_cell,9
circumacicular,45
circumacicular,31
epithelia_cell,10
epithelia_cell,2
epithelia_cell,3
epithelia_cell,1
epithelia_cell,15
epithelia_cell,3
epithelia_cell,9
epithelia_cell,1
circumacicular,41
epithelia_cell,6
circumchaetal,7
epithelia_cell,7
epithelia_cell,13
epithelia_cell,10
epithelia_cell,1
epithelia_cell,8
epithelia_cell,15
epithelia_cell,6
epithelia_cell,3
circumacicular,84
epithelia_cell,2
epithelia_cell,14
epithelia_cell,8
epithelia_cell,1
epithelia_cell,24
epithelia_cell,5
epithelia_cell,2
circumchaetal,7
epithelia_cell,7
epithelia_cell,22
epithelia_cell,19
epithelia_cell,6
epithelia_cell,24
epithelia_cell,8
epithelia_cell,7
epithelia_cell,6
epithelia_cell,9
epithelia_cell,5
circumchaetal,1
epithelia_cell,1
circumchaetal,26
circumchaetal,9
epithelia_cell,3
epithelia_cell,30
epithelia_cell,1
epithelia_cell,9
epithelia_cell,3
epithelia_cell,5
epithelia_cell,6
epithelia_cell,19
epithelia_cell,5
epithelia_cell,7
epithelia_cell,4
epithelia_cell,2
epithelia_cell,8
circumchaetal,11
circumchaetal,18
epithelia_cell,26
circumchaetal,13
circumchaetal,9
muscle,7
epithelia_cell,2
epithelia_cell,11
epithelia_cell,5
epithelia_cell,1
epithelia_cell,7
circumacicular,32
circumchaetal,3
epithelia_cell,15
epithelia_cell,12
epithelia_cell,2
epithelia_cell,5
epithelia_cell,1
epithelia_cell,15
circumchaetal,14
circumchaetal,26
epithelia_cell,1
epithelia_cell,5
epithelia_cell,29
epithelia_cell,2
epithelia_cell,8
epithelia_cell,7
epithelia_cell,7
epithelia_cell,26
epithelia_cell,5
epithelia_cell,6
circumchaetal,9
circumchaetal,6
epithelia_cell,2
epithelia_cell,1
muscle,6
epithelia_cell,4
epithelia_cell,2
epithelia_cell,12
epithelia_cell,3
epithelia_cell,1
epithelia_cell,1
epithelia_cell,4
epithelia_cell,3
epithelia_cell,2
epithelia_cell,2
epithelia_cell,2
epithelia_cell,4
