cell_type;weighted_degree
circumacicular;83
MUSchae_notAac;67
MUSchae_neuDac;48
MUSac_notM/P/A;57
aciculae;39
MUSlong_V;47
MUSlong_D;33
circumchaetal;20
circumacicular;51
MUSchae_notAac;60
MUSchae_neuDac;41
MUSac_notM/P/A;56
aciculae;39
MUSlong_V;42
MUSlong_D;27
circumchaetal;17
circumacicular;50
MUSchae_notAac;56
MUSchae_neuDac;38
MUSac_notM/P/A;40
aciculae;28
MUSlong_V;30
MUSlong_D;26
circumchaetal;17
circumacicular;50
MUSchae_notAac;49
MUSchae_neuDac;37
MUSac_notM/P/A;35
aciculae;18
MUSlong_V;29
MUSlong_D;25
circumchaetal;17
circumacicular;48
MUSchae_notAac;40
MUSchae_neuDac;36
MUSac_notM/P/A;34
aciculae;15
MUSlong_V;27
MUSlong_D;25
circumchaetal;16
circumacicular;47
MUSchae_notAac;38
MUSchae_neuDac;34
MUSac_notM/P/A;34
aciculae;14
MUSlong_V;26
MUSlong_D;24
circumchaetal;16
circumacicular;45
MUSchae_notAac;31
MUSchae_neuDac;33
MUSac_notM/P/A;33
aciculae;13
MUSlong_V;24
MUSlong_D;24
circumchaetal;15
circumacicular;43
MUSchae_notAac;31
MUSchae_neuDac;32
MUSac_notM/P/A;31
aciculae;12
MUSlong_V;24
MUSlong_D;23
circumchaetal;15
circumacicular;42
MUSchae_notAac;30
MUSchae_neuDac;29
MUSac_notM/P/A;29
aciculae;11
MUSlong_V;21
MUSlong_D;22
circumchaetal;14
circumacicular;41
MUSchae_notAac;29
MUSchae_neuDac;26
MUSac_notM/P/A;28
aciculae;10
MUSlong_V;21
MUSlong_D;22
circumchaetal;13
circumacicular;40
MUSchae_notAac;27
MUSchae_neuDac;26
MUSac_notM/P/A;28
aciculae;9
MUSlong_V;21
MUSlong_D;22
circumchaetal;13
circumacicular;40
MUSchae_notAac;24
MUSchae_neuDac;22
MUSac_notM/P/A;27
aciculae;7
MUSlong_V;21
MUSlong_D;21
circumchaetal;13
circumacicular;39
MUSchae_notAac;24
MUSchae_neuDac;21
MUSac_notM/P/A;27
aciculae;NA
MUSlong_V;19
MUSlong_D;20
circumchaetal;13
circumacicular;39
MUSchae_notAac;23
MUSchae_neuDac;21
MUSac_notM/P/A;26
aciculae;NA
MUSlong_V;19
MUSlong_D;20
circumchaetal;12
circumacicular;38
MUSchae_notAac;19
MUSchae_neuDac;20
MUSac_notM/P/A;25
aciculae;NA
MUSlong_V;18
MUSlong_D;20
circumchaetal;12
circumacicular;38
MUSchae_notAac;17
MUSchae_neuDac;19
MUSac_notM/P/A;22
aciculae;NA
MUSlong_V;18
MUSlong_D;20
circumchaetal;12
